Jobs.JobName,PrintActions.Destination,Jobs.PrismaJobID,PrintActions.OriginalPages,PrintActions.Copies,datetimeTS,datetimeTE,TimeDifference
428695.SK_076_8_Y_R1_1811_0396.PDF,ProStream01,1768,18468,486,2024-04-04 13:18:00,2024-04-04 13:58:00,40.0
405717.SK_224_8_Y_N1_1811_0370.PDF,ProStream01,1767,51520,460,2024-04-04 13:55:00,2024-04-04 14:47:00,52.0
415911.SK_072_8_Y_N1_1881_0410.PDF,ProStream02,1763,18000,500,2024-04-04 14:08:00,2024-04-04 15:17:00,69.0
405717.SK_224_8_Y_N1_1811_0370.PDF,ProStream01,1767,51520,460,2024-04-04 15:05:00,2024-04-04 16:32:00,87.0
429655.SK_096_8_N_R1_1881_0365.PDF,ProStream02,1764,21840,455,2024-04-04 15:14:00,2024-04-04 16:20:00,66.0
426328.SK_084_8_Y_N1_1881_0250.PDF,ProStream02,1772,13860,330,2024-04-04 16:28:00,2024-04-04 16:59:00,31.0
408830.SK_136_8_N_N1_1811_0160.PDF,ProStream01,1769,16320,240,2024-04-04 16:40:00,2024-04-04 17:20:00,40.0
429647.SK_120_8_Y_N1_1881_0445.PDF,ProStream02,1773,32100,535,2024-04-04 16:56:00,2024-04-04 18:03:00,67.0
408862.SK_176_8_Y_N1_1811_0420.PDF,ProStream01,1770,44880,510,2024-04-04 17:17:00,2024-04-04 18:18:00,61.0
420254.SK_104_8_Y_N1_1881_0630.PDF,ProStream02,1774,38480,740,2024-04-04 18:00:00,2024-04-04 18:42:00,42.0
475523.SK_216_8_Y_N1_1811_0555.PDF,ProStream01,1771,69660,645,2024-04-04 18:22:00,2024-04-04 18:43:00,21.0
408862.SK_176_8_Y_N1_1811_0420.PDF,ProStream01,1770,44880,510,2024-04-04 18:43:00,2024-04-04 19:42:00,59.0
420254.SK_104_8_Y_N1_1881_0630.PDF,ProStream02,1774,38480,740,2024-04-04 19:22:00,2024-04-04 20:07:00,45.0
475523.SK_216_8_Y_N1_1811_0555.PDF,ProStream01,1771,69660,645,2024-04-04 19:53:00,2024-04-04 21:51:00,118.0
428637.SK_064_8_Y_N1_1881_0495.PDF,ProStream02,1775,18720,585,2024-04-04 20:18:00,2024-04-04 20:59:00,41.0
404397.SK_100_8_Y_N2_1881_0085.PDF,ProStream02,1776,8250,165,2024-04-04 20:56:00,2024-04-04 21:15:00,19.0
409749.SK_072_8_Y_N1_1881_0495.PDF,ProStream02,1777,21060,585,2024-04-04 21:12:00,2024-04-04 21:45:00,33.0
409749.SK_072_8_Y_N1_1881_0495.PDF,ProStream02,1777,21060,585,2024-04-05 07:46:00,2024-04-05 08:05:00,19.0
422619.SK_128_8_Y_N1_1881_0509.PDF,ProStream02,1778,38400,600,2024-04-05 08:02:00,2024-04-05 09:43:00,101.0
475523.SK_216_8_Y_N1_1811_0555.PDF,ProStream01,1771,69660,645,2024-04-05 08:04:00,2024-04-05 09:06:00,62.0
418012.SK_152_8_Y_N1_1811_0395.PDF,ProStream01,1783,36860,485,2024-04-05 09:17:00,2024-04-05 10:54:00,97.0
